"","saleprice","gdistance","wdistance","cdistance","bathrooms","bedrooms","sqftbuilding","sqftlot","age"
"103",136000,7756.375,26562.98046875,159.134002685547,2,4,1709,7229,7
"104",130000,5357.30908203125,12289.556640625,363.372009277344,2.5,3,1668,5300,10
"105",144000,5733.916015625,6117.11376953125,1212.57397460938,2.5,3,1989,6500,12
"106",208000,12894.533203125,2860.212890625,1224.94104003906,3,3,2660,13104,82
"107",160000,4546.8359375,12614.4580078125,421.223999023438,2,2,1199,6000,13
"108",149500,2361.48608398438,10791.1025390625,153.92399597168,2,4,1486,5670,2
"109",172000,3105.93408203125,11331.9404296875,1203.56005859375,2,3,1509,6388,6
"110",113000,10699.0791015625,771.505004882812,2827.72998046875,1,3,1285,8600,74
"111",112000,13906.705078125,2936.86694335938,1978.08996582031,1.5,3,1224,7192,32
"112",147500,5820.11083984375,6675.26513671875,62.7719993591309,2,3,1176,64904,9
"113",49000,4892.66796875,13154.138671875,1484.80895996094,1,2,867,11466,15
"114",109000,4772.365234375,12263.2607421875,205.552993774414,2,3,1344,6000,35
"115",289500,4253.916015625,12649.1552734375,765.010009765625,2.5,4,2754,66646,11
"116",97500,12975.20703125,3381.11303710938,1351.10803222656,2,3,1141,5524,32
"117",215000,13319.7607421875,79.5830001831055,222.110992431641,3,4,2499,9114,16
"118",137500,349.039001464844,12019.849609375,60.1040000915527,2,3,1808,6500,10
"119",126000,12797.6953125,499.196990966797,1862.87194824219,2,4,2046,7735,39
"120",90000,14264.8671875,101.972999572754,712.098999023438,1,2,1062,6667,23
"121",90000,5560.083984375,7203.615234375,963.719970703125,1,2,897,7998,47
"122",84500,4785.18798828125,12889.826171875,1614.95495605469,2,3,1379,5208,5
"123",200500,3014.99389648438,12663.5634765625,988.190979003906,2.5,3,1835,5669,1
"124",73500,11804.318359375,818.004028320312,253.718994140625,2,3,1300,5000,8
"125",148000,4725.13623046875,8119.59423828125,238.574005126953,2,2,2356,12250,25
"126",90000,10762.7314453125,15691.0654296875,240.201995849609,1,3,1197,7617,37
"127",71000,11426.51953125,6355.9609375,399.700988769531,1,2,933,7750,54
"128",153000,13851.341796875,4115.4541015625,1006.64099121094,2.5,4,2226,6600,13
"129",145000,3542.51098632812,10991.00390625,718.159973144531,2,2,1283,7414,26
"130",89000,8217.2265625,25853.099609375,316.799987792969,2,3,1386,6300,10
"131",129000,12177.2763671875,4056.92602539062,895.262023925781,3,4,2162,9250,16
"132",198000,2959.06298828125,12684.8134765625,933.752990722656,2,3,2170,8345,18
"133",286364,2389.17504882812,10672.59375,158.397994995117,2,3,1464,6179,14
"134",1e+05,15093.697265625,4717.57080078125,43.8370018005371,2,3,1632,7665,39
"135",135000,14934.8330078125,2202.6650390625,1980.90405273438,2,3,2041,12800,47
"136",130000,2387.59594726562,10796.60546875,506.763000488281,2,3,1469,6210,9
"137",240000,12786.498046875,532.703002929688,138.041000366211,3,4,2643,8480,1
"138",85000,13119.9638671875,3003.42309570312,1350.51403808594,1,2,1092,7000,47
"139",271000,4199.85498046875,12328.47265625,726.948974609375,2.5,4,2189,18604,16
"140",169000,3399.18090820312,11541.7236328125,1295.63500976562,2.5,3,1702,4182,1
"141",130000,12974.5107421875,2252.63305664062,2380.35400390625,2,3,1498,8000,41
"142",119500,13125.150390625,239.679992675781,678.629028320312,2,3,1145,6000,35
"143",89500,11212.7841796875,5743.533203125,752.4580078125,1,3,1202,8906,15
"144",35000,10808.6484375,592.804016113281,2879.50610351562,1,3,982,4800,67
"145",145000,8526.525390625,13495.8486328125,17.3929996490479,2,3,1476,6363,4
"146",110000,10948.5849609375,15613.9873046875,619.585021972656,2,3,1536,5992,19
"147",82500,11148.396484375,1059.41101074219,2578.43994140625,1.5,2,1137,3300,91
"148",90000,10408.0712890625,398.639007568359,2713.34594726562,2,3,1518,5800,72
"149",90500,7560.47705078125,2609.1298828125,444.829986572266,2.5,3,1556,5000,5
"150",169000,15064.603515625,1176.04895019531,323.894989013672,3,4,2144,6110,1
"151",90000,2847.23608398438,13608.3388671875,215.617004394531,1,3,1003,5000,80
"152",158000,4865.63818359375,10833.6552734375,105.13200378418,2.5,3,1373,5158,7
"153",119000,7279.865234375,13301.98828125,100.349998474121,2,3,1440,5478,10
"154",147500,9096.53515625,25873.2578125,45.3419990539551,3,3,1645,6230,7
"155",32000,1291.92004394531,13798.1552734375,160.233001708984,1.5,2,583,6000,64
"156",110000,5902.501953125,13159.3984375,512.296020507812,2,3,1178,7149,15
"157",132000,5769.85595703125,6132.72705078125,1280.89794921875,2,3,1544,7334,13
"158",128000,11373.8515625,15789.294921875,304.059997558594,1,2,1124,8965,42
"159",67000,10103.3818359375,540.674011230469,1469.92700195312,1,3,1418,14100,40
"160",112000,3737.330078125,12101.587890625,682.590026855469,2,2,1346,8160,38
"161",147500,11424.8916015625,5192.94091796875,329.535003662109,2.5,3,2086,5964,8
"162",127000,5683.59912109375,12521.482421875,150.134994506836,2,4,1486,6620,3
"163",75000,12206.83203125,3379.47290039062,1080.63793945312,1,2,733,5850,3
"164",60000,11026.283203125,2554.88208007812,2185.35888671875,1,2,594,11250,61
"165",310000,5832.162109375,5505.72607421875,68.9580001831055,3,4,2753,14471,6
"166",71000,6900.966796875,3160.63500976562,1528.03002929688,1,3,1162,7000,82
"167",98500,5603.09521484375,6196.498046875,1207.85095214844,2,4,1777,6846,15
"168",134500,2562.0419921875,11919.080078125,848.445983886719,2,3,1086,3766,13
"169",120500,13818.671875,247.658996582031,992.784973144531,2,3,1392,6050,19
"170",115500,4043.55004882812,12470.9228515625,371.799011230469,2,3,1444,6700,11
"171",150000,11178.5234375,1100.4189453125,2532.083984375,2.5,4,3932,5000,82
"172",250000,4916.51806640625,6228.0859375,73.6330032348633,2.5,3,2397,10480,2
"173",49500,6895.23779296875,14770.8935546875,662.948974609375,1,1,435,2500,59
"174",118000,3870.0810546875,10560.04296875,939.918029785156,2,3,1152,5000,34
"175",274000,11848.9287109375,76.875,258.933990478516,3,4,2325,11532,4
"176",216500,5894.47412109375,6728.53515625,1224.82299804688,3,4,2238,9200,25
"177",103000,12817.5498046875,4721.96484375,115.73999786377,2,3,1237,6000,21
"178",158000,11383.888671875,1410.26403808594,771.065002441406,2,3,1937,5500,8
"179",110000,13811.0751953125,3316.60400390625,1536.98205566406,1,3,1772,11250,43
"180",217500,5820.47412109375,5474.3349609375,25.007999420166,2,4,2004,10949,4
"181",147500,7245.3798828125,5465.90283203125,1010.77099609375,2,3,1665,9664,4
"182",182000,4268.71484375,11578.734375,844.025024414062,2.5,3,2046,4997,4
"183",97500,2324.86108398438,13574.513671875,85.1940002441406,1,4,1480,6048,31
"184",224000,3847.07690429688,12601.5771484375,865.632995605469,2.5,4,2272,5626,9
"185",79000,10699.166015625,1028.90100097656,2616.47900390625,1,2,972,9050,46
"186",254000,4700.203125,11326.841796875,530.315002441406,3,4,2541,6114,8
"187",150000,2790.57104492188,13448.4296875,330.519989013672,2,3,1266,5818,1
"188",106000,5474.34814453125,6229.82177734375,1090.88598632812,2,3,1331,9095,18
"189",149000,13711.9423828125,3435.03198242188,1371.99597167969,2,2,1991,12632,41
"190",69500,13304.8974609375,5058.6337890625,322.4169921875,2,2,962,6400,18
"191",124000,1792.55395507812,12675.798828125,687.054992675781,2,3,1156,7337,10
"192",175000,5557.3408203125,12608.701171875,417.049987792969,2.5,3,1865,5606,5
"193",315000,6057.31201171875,14333.666015625,1153.18298339844,3,5,3047,5734,2
"194",125000,4339.87109375,7250.23388671875,599.202026367188,2,3,1605,6400,14
"195",106000,5434.80419921875,4255.5732421875,260.970001220703,2,3,1144,5440,23
"196",140000,1815.7900390625,12613.4501953125,682.172973632812,3,3,1988,11306,10
"197",166000,3598.912109375,13354.3232421875,136.190002441406,2.5,3,1388,3634,4
"198",205455,1166.56201171875,13867.9951171875,152.785995483398,2,3,1357,60112,14
"199",155500,2013.35205078125,13130.7939453125,144.070999145508,2,3,1441,5700,2
"200",130000,6075.30908203125,5624.38916015625,640.419982910156,2,3,1506,9308,13
"201",120000,5400.8681640625,6336.85888671875,1183.69799804688,2,3,1419,5602,20
"202",91500,7267.33203125,4833.71484375,24.3040008544922,2,3,1134,5000,1
"203",178000,8499.1337890625,4159.05419921875,162.682006835938,2,2,1454,5607,12
"204",90000,15860.228515625,3251.7060546875,1755.8310546875,2,3,1501,6800,40
"205",162500,3952.833984375,12305.75390625,832.06298828125,2.5,4,1845,6878,1
"206",157500,5571.47607421875,7997.01513671875,426.588012695312,2,4,1897,6700,17
"207",106500,13224.2216796875,3009.01611328125,327.602996826172,2,3,1413,6466,20
"208",254000,1085.64904785156,13374.8408203125,299.578002929688,2,4,2755,6598,1
"209",75000,11748.4638671875,1589.86401367188,2422.93188476562,1,2,1293,5000,82
"210",180000,13639.6845703125,156.138000488281,1677.52905273438,2.5,3,2287,6585,8
"211",182000,11512.83984375,15826.96484375,168.365005493164,2.5,3,1824,6092,8
"212",73000,13349.9404296875,4690.40576171875,460.950988769531,2,3,1388,6000,20
"213",101000,12272.19140625,2142.10693359375,1916.85095214844,1,2,1116,5500,50
"214",159000,7750.6572265625,4848.43603515625,767.484985351562,2.5,4,2352,6120,9
"215",195500,1473.82604980469,12970.859375,372.169006347656,3,4,1831,4112,1
"216",161000,1433.52600097656,13018.15625,333.385009765625,2,3,1602,7488,1
"217",102000,2489.2451171875,13395.2890625,287.459014892578,2,2,1268,6000,46
"218",75000,9863.3916015625,4354.8837890625,761.726013183594,1,3,1088,5720,19
"219",94500,15273.283203125,3566.98510742188,2034.10095214844,2,3,1598,8606,41
"220",115000,1633.12194824219,10067.8359375,40.4949989318848,2,3,1176,5031,11
"221",147909,5228.31005859375,13422.521484375,1756.74304199219,2.5,4,2098,6143,9
"222",175000,4050.2900390625,7567.865234375,461.076995849609,2.5,3,2228,9350,31
"223",78000,13884.591796875,6124.3681640625,327.227996826172,2,3,1335,7500,19
"224",158000,4936.51416015625,12058.8115234375,159.529006958008,2,2,1460,6413,13
"225",80000,4278.60595703125,12179.1611328125,1141.61499023438,1,2,1080,6250,44
"226",162000,3155.75708007812,12929.3798828125,884.940979003906,2,4,1844,5604,5
"227",85000,8850.783203125,5873.49609375,180.99299621582,2,3,1368,5963,9
"228",92000,12722.525390625,2514.0830078125,2283.7099609375,1,2,1318,5000,55
"229",127500,12410.10546875,3979.72607421875,767.81298828125,2,3,1654,6090,8
"230",142500,3884.94506835938,10614.25,1209.03796386719,1.5,3,1325,10140,35
"231",186000,3734.77294921875,12981.6064453125,499.390014648438,3,5,2360,5626,7
"232",97500,14234.783203125,850.708984375,1006.22302246094,1,3,1134,7480,39
"233",158500,4691.0498046875,11611.62890625,344.281005859375,2,4,1693,6300,17
"234",88000,14242.6708984375,4732.8251953125,1170.11694335938,2,3,1222,6300,14
"235",82000,11853.0947265625,1748.21203613281,2059.14306640625,1,2,945,4500,53
"236",125000,4427.31005859375,12307.5693359375,1043.86401367188,2,3,1511,6500,11
"237",150000,11677.7724609375,1498.02099609375,3363.53393554688,2,3,1918,5000,69
"238",50000,9243.2666015625,1748.40600585938,2164.626953125,1,2,903,4753,44
"239",90000,13232.0869140625,3117.458984375,1269.03698730469,2,3,1175,7030,23
"240",117500,4734.39599609375,12199.74609375,186.611999511719,1.5,3,1048,5950,24
"241",159000,7642.01220703125,5055.8232421875,765.961975097656,2,3,1570,7100,12
"242",138000,3777.2490234375,12101.3525390625,895.010009765625,2.5,3,1578,6000,1
"243",93000,7473.02587890625,3279.14697265625,312.273010253906,2,3,1023,5182,1
"244",130000,4401.65283203125,11921.7099609375,429.923004150391,2.5,3,1989,14963,19
"245",190000,6295.5029296875,5239.64404296875,46.4679985046387,2.5,4,2352,7210,6
"246",128500,2793.95190429688,11688.5458984375,844.992004394531,2,3,1086,4774,11
"247",127000,2527.40087890625,11933.13671875,949.318969726562,2,3,1086,4150,9
"248",102000,10478.328125,823.5,1196.38598632812,1,3,1120,6553,37
"249",330000,2767.1279296875,8969.208984375,89.609001159668,3,2,2437,20008,12
"250",101000,11060.154296875,1353.251953125,844.754028320312,1,3,1059,7590,36
"251",165000,7938.77783203125,4984.3662109375,442.346008300781,3,4,2154,6672,3
"252",125000,6121.64208984375,3857.56909179688,769.658020019531,2,3,1182,3058,82
"253",35000,9732.0986328125,2257.25390625,1862.77697753906,1,2,840,2500,27
"254",165000,12064.05078125,7787.0009765625,26.4090003967285,2,3,1647,6405,6
"255",73000,10543.8740234375,352.622985839844,2694.501953125,1,2,837,5400,49
"256",2e+05,937.127990722656,13547.3115234375,166.940994262695,3,4,2328,6450,2
"257",102000,10986.615234375,6071.873046875,342.289001464844,1,3,1207,7646,45
"258",30000,7146.81494140625,2855.79907226562,1681.53002929688,1.5,3,1246,7000,2
"259",1e+05,10950.123046875,1481.17004394531,1916.87097167969,1,2,1217,7500,42
"260",120000,12043.875,5214.14794921875,169.738006591797,2,4,1752,6500,15
